1	14	1	97
1	32	1	269
1	37	1	26
1	39	1	56
1	54	1	32
1	66	1	1144
1	74	1	32
1	76	1	438
1	82	1	82
1	87	1	64
1	101	1	40
1	105	1	214
1	118	1	58
1	123	1	34
1	175	1	30
1	186	1	27
1	-1	1	2643
2	9	1	76
2	14	1	87
2	32	1	130
2	33	1	188
2	37	1	115
2	39	1	148
2	41	1	108
2	52	1	44
2	54	1	368
2	61	1	36
2	65	1	194
2	66	1	1513
2	72	1	26
2	75	1	60
2	76	1	205
2	77	1	42
2	87	1	94
2	101	1	145
2	105	1	234
2	107	1	33
2	115	1	89
2	118	1	86
2	123	1	136
2	131	1	274
2	134	1	32
2	135	1	76
2	151	1	170
2	153	1	28
2	160	1	740
2	175	1	96
2	177	1	65
2	184	1	32
2	186	1	29
2	-1	1	5699
3	9	1	48
3	10	1	62
3	32	1	383
3	37	1	131
3	66	1	4942
3	74	1	32
3	75	1	27
3	82	1	30
3	87	1	46
3	101	1	36
3	105	1	84
3	143	1	27
3	171	1	56
3	-1	1	5904
4	17	1	30
4	33	1	26
4	35	1	369
4	54	1	332
4	55	1	182
4	66	1	258
4	75	1	48
4	76	1	43
4	79	1	476
4	87	1	420
4	121	1	36
4	130	1	202
4	131	1	48
4	135	1	178
4	152	1	28
4	157	1	1360
4	160	1	64
4	177	1	62
4	186	1	49
4	-1	1	4211
5	9	1	142
5	10	1	26
5	19	1	50
5	66	1	622
5	76	1	93
5	77	1	32
5	89	1	44
5	107	1	89
5	123	1	44
5	143	1	30
5	160	1	92
5	162	1	26
5	188	1	325
5	-1	1	1615
6	37	1	94
6	39	1	32
6	66	1	480
6	76	1	26
6	79	1	128
6	105	1	184
6	153	1	33
6	186	1	28
6	-1	1	1005
7	33	1	29
7	37	1	86
7	39	1	50
7	54	1	95
7	65	1	200
7	66	1	873
7	72	1	108
7	74	1	76
7	76	1	275
7	87	1	563
7	101	1	28
7	105	1	156
7	107	1	43
7	115	1	144
7	128	1	28
7	160	1	602
